Key,AlertCategory,DateOfResponse,TimeOfResponse,DateOfCrime,TimeOfCrime,CrimeCategory,LocationOfCrime,SuspectDescription,SuspectInCustody,Update,Link,MapGroup,coords,latitude,longitude,quarter
47,Triton Alert Bulletin,2022-04-26,,,,Avoid Area,,,,,https://adminrecords.ucsd.edu/Notices/2022/2022-4-26-5.html,,,,,SP2022
48,Community Alert Bulletin,2022-04-26,,,,Streets Reopened,,,,,https://adminrecords.ucsd.edu/Notices/2022/2022-4-26-6.html,,,,,SP2022
49,Annual Campus Lighting & Safety Review Walks,2022-05-03,,,,Annual Campus Lighting & Safety Review Walks,,,,,https://adminrecords.ucsd.edu/Notices/2022/2022-5-3-2.html,,,,,SP2022
50,Timely Warning,2022-06-03,5:12 PM,6/3/2022,05:53 AM,Aggravated Assault,La Jolla Shores Hotel,Yes,No,,https://adminrecords.ucsd.edu/Notices/2022/2022-6-3-2.html,La Jolla Shores Hotel,"(32.85492840564671, -117.25820312016141)",32.85492840564671,-117.25820312016141,SP2022
51,Community Alert Bulletin,2022-06-03,5:12 PM,6/3/2022,05:53 AM,Aggravated Assault,La Jolla Shores Hotel,Yes,No,50.0,https://adminrecords.ucsd.edu/Notices/2022/2022-6-5-1.html,La Jolla Shores Hotel,"(32.85492840564671, -117.25820312016141)",32.85492840564671,-117.25820312016141,SP2022
52,Timely Warning,2022-06-12,9:28 AM,6/12/2022,,Arson,Leichtag Biomedical Research Building,No,No,,https://adminrecords.ucsd.edu/Notices/2022/2022-6-12-1.html,UCSD School of Medicine,"(32.874277832276334, -117.2354855752366)",32.874277832276334,-117.2354855752366,SP2022
53,Community Alert Bulletin,2022-06-13,5:00 PM,6/13/2022,04:30 PM,Stalking,Biological Grade Parking Lot #011,Yes,No,,https://adminrecords.ucsd.edu/Notices/2022/2022-6-13-4.html,Scripps,"(32.868674622251646, -117.25195757194997)",32.868674622251646,-117.25195757194997,SP2022
54,Timely Warning,2022-06-16,11:28 PM,6/13/2022,03:10 PM,Intimidation - Sexual Orientation Bias,UCSD Hillcrest Hospital,No,No,,https://adminrecords.ucsd.edu/Notices/2022/2022-6-17-2.html,The Hillcrest Medical Center,"(32.75054274681195, -117.16247161061892)",32.75054274681195,-117.16247161061892,SP2022
55,Timely Warning,2022-06-22,2:29 AM,6/22/2022,01:45 AM,Robbery,UCSD Medical Center Hillcrest Parking Lot,Yes,No,,https://adminrecords.ucsd.edu/Notices/2022/2022-6-22-2.html,The Hillcrest Medical Center,"(32.75054274681195, -117.16247161061892)",32.75054274681195,-117.16247161061892,SP2022
56,Timely Warning,2022-08-08,5:01 AM,8/8/2022,03:30 AM,Burglary,1000 York Lane,No,No,,https://adminrecords.ucsd.edu/Notices/2022/2022-8-8-3.html,Revelle,"(32.874775437274074, -117.24184346833931)",32.874775437274074,-117.24184346833931,SU2022
